,power,sum_real,sum_imaginary,var_real,var_imaginary,range_real,range_imag,real_skew,imag_skew,real_kurt,imag_kurt,Signal
0,0.5191020534329389,0.5584729001258247,0.4708726559933058,0.5930285567698477,0.4166757944110385,0.5866586218021023,0.2623514446555097,0.5827041350513312,0.601137066518173,0.5878620551693144,0.5059206931963008,1.0
1,0.5911536332084887,0.4062489321489182,0.5468089619651725,0.5313049177088313,0.5597916912568752,0.3110782605242741,0.3378443490181151,0.5393987912586973,0.6846348939180725,0.45217557644152173,0.40065171942145644,1.0
2,0.7076691369780874,0.501133066447092,0.3201219531870227,0.6988056809614305,0.5459438946264009,0.4837170312822858,0.1445566559603779,0.8538326683358926,0.28231243834013003,0.5222187623765936,0.24491028825955977,1.0
3,0.2957554772350037,0.4294805949161144,0.49658364421641554,0.29071071278812327,0.4239684482092277,0.2922387064895472,0.2756867631186959,0.49274919763002123,0.6978417260856254,0.324758954717765,0.3776865443529621,1.0
4,0.5871623965446912,0.5800177432737386,0.591921713829148,0.47179443140648664,0.6111059929372998,0.18161058357057996,0.43958450793718923,0.45445307027201554,0.4166011194219253,0.21036874399845837,0.5149386272775349,1.0
5,0.4308197183976675,0.6388463763238124,0.4697410031836125,0.49183237048622125,0.4015885439315239,0.13766932240813518,0.5314137972435342,0.37266579036983094,0.6282967784719234,0.11804607852424727,0.6167139064571626,1.0
6,0.4405944668962917,0.645356488989271,0.4726831596509509,0.5695468079354585,0.34119627824644216,0.5336034545650141,0.11774761229502356,0.7584675071628392,0.4386058197817935,0.2712098549666544,0.228662631846076,1.0
7,0.5471357833261026,0.5175989014451153,0.5765356397058973,0.3668077383074221,0.6603216253249956,0.30941983445716614,0.2728863305527214,0.3472146324418689,0.47312188517755793,0.3134285962672392,0.29578757005714124,1.0
8,0.5726948582714958,0.6354703733575201,0.6620506971414097,0.6487385792719141,0.42654285451736745,0.4999699960657722,0.48418717523811206,0.31517625480803385,0.22917903057631517,0.49554409054474924,0.5092833235752335,1.0
9,0.4120301989533134,0.6652814588794576,0.5194194915904122,0.36299193785916173,0.49742130294780207,0.22618246615964707,0.42551819919306483,0.6354251966589812,0.5766540678558378,0.39271132966881217,0.2723186339547356,1.0
10,0.4915683958468405,0.5129891198398596,0.29381435559031666,0.49199912973694765,0.4737597006904791,0.4228911456153038,0.5152440122356541,0.5134552778042747,0.5468643122298055,0.38180306696416355,0.5076097526010248,1.0
11,0.6070073070968345,0.42209970974766314,0.4710988804688004,0.49440037609003856,0.6140531639588981,0.43744073102078734,0.1954424777897889,0.5170833806888997,0.5607279615934109,0.440967712795845,0.43743783797627284,1.0
12,0.2646120561005438,0.7339328096358702,0.1292258969331015,0.39483458874481064,0.2743911001974688,0.33022114781954653,0.13710315571857307,0.41143747435365763,0.38648798232110754,0.6024084400217914,0.3040955212894272,1.0
13,0.5327428550488298,0.37450301630439464,0.4689391726048037,0.541093066933571,0.478643254949683,0.5006689165847142,0.19802637407821194,0.4415386877437712,0.3281793182115809,0.36639835268899135,0.25214348129393066,1.0
14,0.4851870901484119,0.6137774005444692,0.4039421096104639,0.4721507868325282,0.48614003188174754,0.38578648135220495,0.1258536101054534,0.13466808693535628,0.34987674575052286,0.5356357415570997,0.2559808602422357,1.0
15,0.35829464780054365,0.7772222612123577,0.7741392808794731,0.22132916527473898,0.5513574511188879,0.17602556919825782,0.3918503343713856,0.6388847693000185,0.706234595245093,0.1732666693679613,0.3739713587987255,1.0
